source,Date,incid_est,t,country_name,country,incid_conf,cum_incid,cum_est_incid
AFG,2020-02-24,0.18,2020-02-24,Afghanistan,AFG,1,1,0.51
AFG,2020-02-25,0.18,2020-02-25,Afghanistan,AFG,0,1,0.69
AFG,2020-02-26,0.14,2020-02-26,Afghanistan,AFG,0,1,0.83
AFG,2020-02-27,0.09,2020-02-27,Afghanistan,AFG,0,1,0.92
AFG,2020-02-28,0.04,2020-02-28,Afghanistan,AFG,0,1,0.96
AFG,2020-02-29,0.01,2020-02-29,Afghanistan,AFG,0,1,0.97
AFG,2020-03-01,0,2020-03-01,Afghanistan,AFG,0,1,0.97
AFG,2020-03-02,0,2020-03-02,Afghanistan,AFG,0,1,0.97
AFG,2020-03-03,0.01,2020-03-03,Afghanistan,AFG,0,1,0.98
AFG,2020-03-04,0.04,2020-03-04,Afghanistan,AFG,0,1,1.02
AFG,2020-03-05,0.15,2020-03-05,Afghanistan,AFG,0,1,1.17
AFG,2020-03-06,0.34,2020-03-06,Afghanistan,AFG,0,1,1.51
AFG,2020-03-07,0.59,2020-03-07,Afghanistan,AFG,0,1,2.1
AFG,2020-03-08,0.82,2020-03-08,Afghanistan,AFG,3,4,2.92
AFG,2020-03-09,0.96,2020-03-09,Afghanistan,AFG,0,4,3.88
AFG,2020-03-10,1.02,2020-03-10,Afghanistan,AFG,1,5,4.9
AFG,2020-03-11,1.13,2020-03-11,Afghanistan,AFG,2,7,6.03
AFG,2020-03-12,1.43,2020-03-12,Afghanistan,AFG,0,7,7.46
AFG,2020-03-13,1.98,2020-03-13,Afghanistan,AFG,0,7,9.44
AFG,2020-03-14,2.53,2020-03-14,Afghanistan,AFG,4,11,11.969999999999999
AFG,2020-03-15,2.8,2020-03-15,Afghanistan,AFG,5,16,14.77
AFG,2020-03-16,2.55,2020-03-16,Afghanistan,AFG,5,21,17.32
AFG,2020-03-17,2,2020-03-17,Afghanistan,AFG,1,22,19.32
AFG,2020-03-18,1.6,2020-03-18,Afghanistan,AFG,0,22,20.919999999999998
AFG,2020-03-19,1.81,2020-03-19,Afghanistan,AFG,0,22,22.73
AFG,2020-03-20,2.89,2020-03-20,Afghanistan,AFG,2,24,25.62
AFG,2020-03-21,4.89,2020-03-21,Afghanistan,AFG,0,24,30.509999999999998
AFG,2020-03-22,7.83,2020-03-22,Afghanistan,AFG,16,40,38.339999999999996
AFG,2020-03-23,11.36,2020-03-23,Afghanistan,AFG,0,40,49.699999999999996
AFG,2020-03-24,14.29,2020-03-24,Afghanistan,AFG,34,74,63.989999999999995
AFG,2020-03-25,15.28,2020-03-25,Afghanistan,AFG,10,84,79.27
AFG,2020-03-26,13.61,2020-03-26,Afghanistan,AFG,10,94,92.88
AFG,2020-03-27,11.23,2020-03-27,Afghanistan,AFG,16,110,104.11
AFG,2020-03-28,11.27,2020-03-28,Afghanistan,AFG,0,110,115.38
AFG,2020-03-29,16.42,2020-03-29,Afghanistan,AFG,10,120,131.8
AFG,2020-03-30,25.46,2020-03-30,Afghanistan,AFG,50,170,157.26
AFG,2020-03-31,33.81,2020-03-31,Afghanistan,AFG,4,174,191.07
AFG,2020-04-01,36.8,2020-04-01,Afghanistan,AFG,63,237,227.87
AFG,2020-04-02,33.17,2020-04-02,Afghanistan,AFG,36,273,261.04
AFG,2020-04-03,27.16,2020-04-03,Afghanistan,AFG,8,281,288.2
AFG,2020-04-04,23.92,2020-04-04,Afghanistan,AFG,18,299,312.12
AFG,2020-04-05,26.76,2020-04-05,Afghanistan,AFG,50,349,338.88
AFG,2020-04-06,33.18,2020-04-06,Afghanistan,AFG,18,367,372.06
AFG,2020-04-07,38.65,2020-04-07,Afghanistan,AFG,56,423,410.71
AFG,2020-04-08,39.38,2020-04-08,Afghanistan,AFG,21,444,450.09000000000003
AFG,2020-04-09,36.46,2020-04-09,Afghanistan,AFG,40,484,486.55
AFG,2020-04-10,34.29,2020-04-10,Afghanistan,AFG,37,521,520.84
AFG,2020-04-11,37.16,2020-04-11,Afghanistan,AFG,34,555,558
AFG,2020-04-12,45.63,2020-04-12,Afghanistan,AFG,52,607,603.63
AFG,2020-04-13,55.51,2020-04-13,Afghanistan,AFG,58,665,659.14
AFG,2020-04-14,62.05,2020-04-14,Afghanistan,AFG,49,714,721.19
AFG,2020-04-15,62.41,2020-04-15,Afghanistan,AFG,70,784,783.6
AFG,2020-04-16,58.49,2020-04-16,Afghanistan,AFG,56,840,842.09
AFG,2020-04-17,53.39,2020-04-17,Afghanistan,AFG,66,906,895.48
AFG,2020-04-18,49.48,2020-04-18,Afghanistan,AFG,27,933,944.96
AFG,2020-04-19,45.2,2020-04-19,Afghanistan,AFG,63,996,990.16
AFG,2020-04-20,36.94,2020-04-20,Afghanistan,AFG,30,1026,1027.1
AGO,2020-01-22,0,2020-01-22,Angola,AGO,0,0,0
AGO,2020-01-23,0,2020-01-23,Angola,AGO,0,0,0
AGO,2020-01-24,0,2020-01-24,Angola,AGO,0,0,0
AGO,2020-01-25,0,2020-01-25,Angola,AGO,0,0,0
AGO,2020-01-26,0,2020-01-26,Angola,AGO,0,0,0
AGO,2020-01-27,0,2020-01-27,Angola,AGO,0,0,0
AGO,2020-01-28,0,2020-01-28,Angola,AGO,0,0,0
AGO,2020-01-29,0,2020-01-29,Angola,AGO,0,0,0
AGO,2020-01-30,0,2020-01-30,Angola,AGO,0,0,0
AGO,2020-01-31,0,2020-01-31,Angola,AGO,0,0,0
AGO,2020-02-01,0,2020-02-01,Angola,AGO,0,0,0
AGO,2020-02-02,0,2020-02-02,Angola,AGO,0,0,0
AGO,2020-02-03,0,2020-02-03,Angola,AGO,0,0,0
AGO,2020-02-04,0,2020-02-04,Angola,AGO,0,0,0
AGO,2020-02-05,0,2020-02-05,Angola,AGO,0,0,0
AGO,2020-02-06,0,2020-02-06,Angola,AGO,0,0,0
AGO,2020-02-07,0,2020-02-07,Angola,AGO,0,0,0
AGO,2020-02-08,0,2020-02-08,Angola,AGO,0,0,0
AGO,2020-02-09,0,2020-02-09,Angola,AGO,0,0,0
AGO,2020-02-10,0,2020-02-10,Angola,AGO,0,0,0
AGO,2020-02-11,0,2020-02-11,Angola,AGO,0,0,0
AGO,2020-02-12,0,2020-02-12,Angola,AGO,0,0,0
AGO,2020-02-13,0,2020-02-13,Angola,AGO,0,0,0
AGO,2020-02-14,0,2020-02-14,Angola,AGO,0,0,0
AGO,2020-02-15,0,2020-02-15,Angola,AGO,0,0,0
AGO,2020-02-16,0,2020-02-16,Angola,AGO,0,0,0
AGO,2020-02-17,0,2020-02-17,Angola,AGO,0,0,0
AGO,2020-02-18,0,2020-02-18,Angola,AGO,0,0,0
AGO,2020-02-19,0,2020-02-19,Angola,AGO,0,0,0
AGO,2020-02-20,0,2020-02-20,Angola,AGO,0,0,0
AGO,2020-02-21,0,2020-02-21,Angola,AGO,0,0,0
AGO,2020-02-22,0,2020-02-22,Angola,AGO,0,0,0
AGO,2020-02-23,0,2020-02-23,Angola,AGO,0,0,0
AGO,2020-02-24,0,2020-02-24,Angola,AGO,0,0,0
AGO,2020-02-25,0,2020-02-25,Angola,AGO,0,0,0
AGO,2020-02-26,0,2020-02-26,Angola,AGO,0,0,0
AGO,2020-02-27,0,2020-02-27,Angola,AGO,0,0,0
AGO,2020-02-28,0,2020-02-28,Angola,AGO,0,0,0
AGO,2020-02-29,0,2020-02-29,Angola,AGO,0,0,0
AGO,2020-03-01,0,2020-03-01,Angola,AGO,0,0,0
AGO,2020-03-02,0,2020-03-02,Angola,AGO,0,0,0
AGO,2020-03-03,0,2020-03-03,Angola,AGO,0,0,0
AGO,2020-03-04,0,2020-03-04,Angola,AGO,0,0,0
AGO,2020-03-05,0,2020-03-05,Angola,AGO,0,0,0
AGO,2020-03-06,0,2020-03-06,Angola,AGO,0,0,0
AGO,2020-03-07,0,2020-03-07,Angola,AGO,0,0,0
AGO,2020-03-08,0,2020-03-08,Angola,AGO,0,0,0
AGO,2020-03-09,0,2020-03-09,Angola,AGO,0,0,0
AGO,2020-03-10,0,2020-03-10,Angola,AGO,0,0,0
AGO,2020-03-11,0,2020-03-11,Angola,AGO,0,0,0
AGO,2020-03-12,0,2020-03-12,Angola,AGO,0,0,0
AGO,2020-03-13,0,2020-03-13,Angola,AGO,0,0,0
AGO,2020-03-14,0,2020-03-14,Angola,AGO,0,0,0
AGO,2020-03-15,0,2020-03-15,Angola,AGO,0,0,0
AGO,2020-03-16,0.01,2020-03-16,Angola,AGO,0,0,0.01
AGO,2020-03-17,0.04,2020-03-17,Angola,AGO,0,0,0.05
AGO,2020-03-18,0.11,2020-03-18,Angola,AGO,0,0,0.16
AGO,2020-03-19,0.26,2020-03-19,Angola,AGO,0,0,0.42
AGO,2020-03-20,0.45,2020-03-20,Angola,AGO,1,1,0.87
AGO,2020-03-21,0.61,2020-03-21,Angola,AGO,1,2,1.48
AGO,2020-03-22,0.65,2020-03-22,Angola,AGO,0,2,2.13
AGO,2020-03-23,0.56,2020-03-23,Angola,AGO,1,3,2.69
AGO,2020-03-24,0.43,2020-03-24,Angola,AGO,0,3,3.12
AGO,2020-03-25,0.35,2020-03-25,Angola,AGO,0,3,3.47
AGO,2020-03-26,0.41,2020-03-26,Angola,AGO,1,4,3.88
AGO,2020-03-27,0.56,2020-03-27,Angola,AGO,0,4,4.44
AGO,2020-03-28,0.69,2020-03-28,Angola,AGO,1,5,5.13
AGO,2020-03-29,0.68,2020-03-29,Angola,AGO,2,7,5.8100000000000005
AGO,2020-03-30,0.56,2020-03-30,Angola,AGO,0,7,6.37
AGO,2020-03-31,0.49,2020-03-31,Angola,AGO,0,7,6.86
AGO,2020-04-01,0.61,2020-04-01,Angola,AGO,1,8,7.47
AGO,2020-04-02,0.94,2020-04-02,Angola,AGO,0,8,8.41
AGO,2020-04-03,1.36,2020-04-03,Angola,AGO,0,8,9.77
AGO,2020-04-04,1.7,2020-04-04,Angola,AGO,2,10,11.47
AGO,2020-04-05,1.83,2020-04-05,Angola,AGO,4,14,13.3
AGO,2020-04-06,1.76,2020-04-06,Angola,AGO,2,16,15.06
AGO,2020-04-07,1.53,2020-04-07,Angola,AGO,1,17,16.59
AGO,2020-04-08,1.19,2020-04-08,Angola,AGO,2,19,17.78
AGO,2020-04-09,0.8,2020-04-09,Angola,AGO,0,19,18.580000000000002
AGO,2020-04-10,0.45,2020-04-10,Angola,AGO,0,19,19.03
AGO,2020-04-11,0.19,2020-04-11,Angola,AGO,0,19,19.22
AGO,2020-04-12,0.06,2020-04-12,Angola,AGO,0,19,19.28
AGO,2020-04-13,0.01,2020-04-13,Angola,AGO,0,19,19.29
AGO,2020-04-14,0,2020-04-14,Angola,AGO,0,19,19.29
AGO,2020-04-15,0.04,2020-04-15,Angola,AGO,0,19,19.330000000000002
AGO,2020-04-16,0.23,2020-04-16,Angola,AGO,0,19,19.56
AGO,2020-04-17,0.72,2020-04-17,Angola,AGO,0,19,20.28
AGO,2020-04-18,1.52,2020-04-18,Angola,AGO,5,24,21.8
AGO,2020-04-19,1.98,2020-04-19,Angola,AGO,0,24,23.78
AGO,2020-04-20,1.12,2020-04-20,Angola,AGO,0,24,24.9
ALB,2020-01-22,0,2020-01-22,Albania,ALB,0,0,0
ALB,2020-01-23,0,2020-01-23,Albania,ALB,0,0,0
ALB,2020-01-24,0,2020-01-24,Albania,ALB,0,0,0
ALB,2020-01-25,0,2020-01-25,Albania,ALB,0,0,0
ALB,2020-01-26,0,2020-01-26,Albania,ALB,0,0,0
ALB,2020-01-27,0,2020-01-27,Albania,ALB,0,0,0
ALB,2020-01-28,0,2020-01-28,Albania,ALB,0,0,0
ALB,2020-01-29,0,2020-01-29,Albania,ALB,0,0,0
ALB,2020-01-30,0,2020-01-30,Albania,ALB,0,0,0
ALB,2020-01-31,0,2020-01-31,Albania,ALB,0,0,0
ALB,2020-02-01,0,2020-02-01,Albania,ALB,0,0,0
ALB,2020-02-02,0,2020-02-02,Albania,ALB,0,0,0
ALB,2020-02-03,0,2020-02-03,Albania,ALB,0,0,0
ALB,2020-02-04,0,2020-02-04,Albania,ALB,0,0,0
ALB,2020-02-05,0,2020-02-05,Albania,ALB,0,0,0
ALB,2020-02-06,0,2020-02-06,Albania,ALB,0,0,0
ALB,2020-02-07,0,2020-02-07,Albania,ALB,0,0,0
ALB,2020-02-08,0,2020-02-08,Albania,ALB,0,0,0
ALB,2020-02-09,0,2020-02-09,Albania,ALB,0,0,0
ALB,2020-02-10,0,2020-02-10,Albania,ALB,0,0,0
ALB,2020-02-11,0,2020-02-11,Albania,ALB,0,0,0
ALB,2020-02-12,0,2020-02-12,Albania,ALB,0,0,0
ALB,2020-02-13,0,2020-02-13,Albania,ALB,0,0,0
ALB,2020-02-14,0,2020-02-14,Albania,ALB,0,0,0
ALB,2020-02-15,0,2020-02-15,Albania,ALB,0,0,0
ALB,2020-02-16,0,2020-02-16,Albania,ALB,0,0,0
ALB,2020-02-17,0,2020-02-17,Albania,ALB,0,0,0
ALB,2020-02-18,0,2020-02-18,Albania,ALB,0,0,0
ALB,2020-02-19,0,2020-02-19,Albania,ALB,0,0,0
ALB,2020-02-20,0,2020-02-20,Albania,ALB,0,0,0
ALB,2020-02-21,0,2020-02-21,Albania,ALB,0,0,0
ALB,2020-02-22,0,2020-02-22,Albania,ALB,0,0,0
ALB,2020-02-23,0,2020-02-23,Albania,ALB,0,0,0
ALB,2020-02-24,0,2020-02-24,Albania,ALB,0,0,0
ALB,2020-02-25,0,2020-02-25,Albania,ALB,0,0,0
ALB,2020-02-26,0,2020-02-26,Albania,ALB,0,0,0
ALB,2020-02-27,0,2020-02-27,Albania,ALB,0,0,0
ALB,2020-02-28,0,2020-02-28,Albania,ALB,0,0,0
ALB,2020-02-29,0,2020-02-29,Albania,ALB,0,0,0
ALB,2020-03-01,0,2020-03-01,Albania,ALB,0,0,0
ALB,2020-03-02,0,2020-03-02,Albania,ALB,0,0,0
ALB,2020-03-03,0,2020-03-03,Albania,ALB,0,0,0
ALB,2020-03-04,0,2020-03-04,Albania,ALB,0,0,0
ALB,2020-03-05,0,2020-03-05,Albania,ALB,0,0,0
ALB,2020-03-06,0.02,2020-03-06,Albania,ALB,0,0,0.02
ALB,2020-03-07,0.24,2020-03-07,Albania,ALB,0,0,0.26
ALB,2020-03-08,0.94,2020-03-08,Albania,ALB,0,0,1.2
ALB,2020-03-09,2.4,2020-03-09,Albania,ALB,2,2,3.5999999999999996
ALB,2020-03-10,4.5,2020-03-10,Albania,ALB,8,10,8.1
ALB,2020-03-11,6.59,2020-03-11,Albania,ALB,2,12,14.69
ALB,2020-03-12,7.93,2020-03-12,Albania,ALB,11,23,22.62
ALB,2020-03-13,8.09,2020-03-13,Albania,ALB,10,33,30.71
ALB,2020-03-14,7.39,2020-03-14,Albania,ALB,5,38,38.1
ALB,2020-03-15,6.33,2020-03-15,Albania,ALB,4,42,44.43
ALB,2020-03-16,5.4,2020-03-16,Albania,ALB,9,51,49.83
ALB,2020-03-17,4.8,2020-03-17,Albania,ALB,4,55,54.63
ALB,2020-03-18,4.57,2020-03-18,Albania,ALB,4,59,59.2
ALB,2020-03-19,4.75,2020-03-19,Albania,ALB,5,64,63.95
ALB,2020-03-20,5.6,2020-03-20,Albania,ALB,6,70,69.55
ALB,2020-03-21,7.54,2020-03-21,Albania,ALB,6,76,77.09
ALB,2020-03-22,11.04,2020-03-22,Albania,ALB,13,89,88.13
ALB,2020-03-23,15.86,2020-03-23,Albania,ALB,15,104,103.99
ALB,2020-03-24,20.4,2020-03-24,Albania,ALB,19,123,124.39
ALB,2020-03-25,22.75,2020-03-25,Albania,ALB,23,146,147.14
ALB,2020-03-26,21.6,2020-03-26,Albania,ALB,28,174,168.74
ALB,2020-03-27,17.98,2020-03-27,Albania,ALB,12,186,186.72
ALB,2020-03-28,14.02,2020-03-28,Albania,ALB,11,197,200.74
ALB,2020-03-29,11.73,2020-03-29,Albania,ALB,15,212,212.47
ALB,2020-03-30,11.88,2020-03-30,Albania,ALB,11,223,224.35
ALB,2020-03-31,14.16,2020-03-31,Albania,ALB,20,243,238.51
ALB,2020-04-01,18.21,2020-04-01,Albania,ALB,16,259,256.72
ALB,2020-04-02,23.05,2020-04-02,Albania,ALB,18,277,279.77
ALB,2020-04-03,26.79,2020-04-03,Albania,ALB,27,304,306.56
ALB,2020-04-04,27.39,2020-04-04,Albania,ALB,29,333,333.95
ALB,2020-04-05,23.75,2020-04-05,Albania,ALB,28,361,357.7
ALB,2020-04-06,17.72,2020-04-06,Albania,ALB,16,377,375.42
ALB,2020-04-07,12.18,2020-04-07,Albania,ALB,6,383,387.6
ALB,2020-04-08,9.62,2020-04-08,Albania,ALB,17,400,397.21999999999997
ALB,2020-04-09,10.09,2020-04-09,Albania,ALB,9,409,407.31
ALB,2020-04-10,11.93,2020-04-10,Albania,ALB,7,416,419.24
ALB,2020-04-11,13.52,2020-04-11,Albania,ALB,17,433,432.76
ALB,2020-04-12,14.24,2020-04-12,Albania,ALB,13,446,447
ALB,2020-04-13,14.84,2020-04-13,Albania,ALB,21,467,461.84
ALB,2020-04-14,16.2,2020-04-14,Albania,ALB,8,475,478.04
ALB,2020-04-15,18.5,2020-04-15,Albania,ALB,19,494,496.54
ALB,2020-04-16,20.13,2020-04-16,Albania,ALB,24,518,516.67
ALB,2020-04-17,19.03,2020-04-17,Albania,ALB,21,539,535.7
ALB,2020-04-18,14.45,2020-04-18,Albania,ALB,9,548,550.15
ALB,2020-04-19,12.2,2020-04-19,Albania,ALB,14,562,562.35
ALB,2020-04-20,21.51,2020-04-20,Albania,ALB,22,584,583.86
AND,2020-01-22,0,2020-01-22,Andorra,AND,0,0,0
AND,2020-01-23,0,2020-01-23,Andorra,AND,0,0,0
AND,2020-01-24,0,2020-01-24,Andorra,AND,0,0,0
AND,2020-01-25,0,2020-01-25,Andorra,AND,0,0,0
AND,2020-01-26,0,2020-01-26,Andorra,AND,0,0,0
AND,2020-01-27,0,2020-01-27,Andorra,AND,0,0,0
AND,2020-01-28,0,2020-01-28,Andorra,AND,0,0,0
AND,2020-01-29,0,2020-01-29,Andorra,AND,0,0,0
AND,2020-01-30,0,2020-01-30,Andorra,AND,0,0,0
AND,2020-01-31,0,2020-01-31,Andorra,AND,0,0,0
AND,2020-02-01,0,2020-02-01,Andorra,AND,0,0,0
AND,2020-02-02,0,2020-02-02,Andorra,AND,0,0,0
AND,2020-02-03,0,2020-02-03,Andorra,AND,0,0,0
AND,2020-02-04,0,2020-02-04,Andorra,AND,0,0,0
AND,2020-02-05,0,2020-02-05,Andorra,AND,0,0,0
AND,2020-02-06,0,2020-02-06,Andorra,AND,0,0,0
AND,2020-02-07,0,2020-02-07,Andorra,AND,0,0,0
AND,2020-02-08,0,2020-02-08,Andorra,AND,0,0,0
AND,2020-02-09,0,2020-02-09,Andorra,AND,0,0,0
AND,2020-02-10,0,2020-02-10,Andorra,AND,0,0,0
AND,2020-02-11,0,2020-02-11,Andorra,AND,0,0,0
AND,2020-02-12,0,2020-02-12,Andorra,AND,0,0,0
AND,2020-02-13,0,2020-02-13,Andorra,AND,0,0,0
AND,2020-02-14,0,2020-02-14,Andorra,AND,0,0,0
AND,2020-02-15,0,2020-02-15,Andorra,AND,0,0,0
AND,2020-02-16,0,2020-02-16,Andorra,AND,0,0,0
AND,2020-02-17,0,2020-02-17,Andorra,AND,0,0,0
AND,2020-02-18,0,2020-02-18,Andorra,AND,0,0,0
AND,2020-02-19,0,2020-02-19,Andorra,AND,0,0,0
AND,2020-02-20,0,2020-02-20,Andorra,AND,0,0,0
AND,2020-02-21,0,2020-02-21,Andorra,AND,0,0,0
AND,2020-02-22,0,2020-02-22,Andorra,AND,0,0,0
AND,2020-02-23,0,2020-02-23,Andorra,AND,0,0,0
AND,2020-02-24,0,2020-02-24,Andorra,AND,0,0,0
AND,2020-02-25,0,2020-02-25,Andorra,AND,0,0,0
AND,2020-02-26,0.01,2020-02-26,Andorra,AND,0,0,0.01
AND,2020-02-27,0.03,2020-02-27,Andorra,AND,0,0,0.04
AND,2020-02-28,0.05,2020-02-28,Andorra,AND,0,0,0.09
AND,2020-02-29,0.09,2020-02-29,Andorra,AND,0,0,0.18
AND,2020-03-01,0.13,2020-03-01,Andorra,AND,0,0,0.31
AND,2020-03-02,0.14,2020-03-02,Andorra,AND,1,1,0.45
AND,2020-03-03,0.12,2020-03-03,Andorra,AND,0,1,0.5700000000000001
AND,2020-03-04,0.09,2020-03-04,Andorra,AND,0,1,0.66
AND,2020-03-05,0.05,2020-03-05,Andorra,AND,0,1,0.71
AND,2020-03-06,0.02,2020-03-06,Andorra,AND,0,1,0.73
AND,2020-03-07,0,2020-03-07,Andorra,AND,0,1,0.73
AND,2020-03-08,0,2020-03-08,Andorra,AND,0,1,0.73
AND,2020-03-09,0,2020-03-09,Andorra,AND,0,1,0.73
AND,2020-03-10,0,2020-03-10,Andorra,AND,0,1,0.73
AND,2020-03-11,0,2020-03-11,Andorra,AND,0,1,0.73
AND,2020-03-12,0.01,2020-03-12,Andorra,AND,0,1,0.74
AND,2020-03-13,0.16,2020-03-13,Andorra,AND,0,1,0.9
AND,2020-03-14,0.97,2020-03-14,Andorra,AND,0,1,1.8699999999999999
AND,2020-03-15,3.05,2020-03-15,Andorra,AND,0,1,4.92
AND,2020-03-16,6.83,2020-03-16,Andorra,AND,1,2,11.75
AND,2020-03-17,11.49,2020-03-17,Andorra,AND,37,39,23.24
AND,2020-03-18,15.59,2020-03-18,Andorra,AND,0,39,38.83
AND,2020-03-19,17.75,2020-03-19,Andorra,AND,14,53,56.58
AND,2020-03-20,17.97,2020-03-20,Andorra,AND,22,75,74.55
AND,2020-03-21,17.76,2020-03-21,Andorra,AND,13,88,92.31
AND,2020-03-22,18.76,2020-03-22,Andorra,AND,25,113,111.07000000000001
AND,2020-03-23,21.85,2020-03-23,Andorra,AND,20,133,132.92000000000002
AND,2020-03-24,26.44,2020-03-24,Andorra,AND,31,164,159.36
AND,2020-03-25,31.56,2020-03-25,Andorra,AND,24,188,190.92000000000002
AND,2020-03-26,36.18,2020-03-26,Andorra,AND,36,224,227.1
AND,2020-03-27,38.96,2020-03-27,Andorra,AND,43,267,266.06
AND,2020-03-28,38.42,2020-03-28,Andorra,AND,41,308,304.48
AND,2020-03-29,33.37,2020-03-29,Andorra,AND,26,334,337.85
AND,2020-03-30,25.35,2020-03-30,Andorra,AND,36,370,363.2
AND,2020-03-31,18.18,2020-03-31,Andorra,AND,6,376,381.38
AND,2020-04-01,15.71,2020-04-01,Andorra,AND,14,390,397.09000000000003
AND,2020-04-02,19.07,2020-04-02,Andorra,AND,38,428,416.16
AND,2020-04-03,24.91,2020-04-03,Andorra,AND,11,439,441.07
AND,2020-04-04,29.16,2020-04-04,Andorra,AND,27,466,470.23
AND,2020-04-05,28.97,2020-04-05,Andorra,AND,35,501,499.2
AND,2020-04-06,25.46,2020-04-06,Andorra,AND,24,525,524.66
AND,2020-04-07,21.11,2020-04-07,Andorra,AND,20,545,545.77
AND,2020-04-08,18.14,2020-04-08,Andorra,AND,19,564,563.91
AND,2020-04-09,16.93,2020-04-09,Andorra,AND,19,583,580.84
AND,2020-04-10,16.68,2020-04-10,Andorra,AND,18,601,597.52
AND,2020-04-11,16.52,2020-04-11,Andorra,AND,0,601,614.04
AND,2020-04-12,15.96,2020-04-12,Andorra,AND,37,638,630
AND,2020-04-13,14.98,2020-04-13,Andorra,AND,8,646,644.98
AND,2020-04-14,13.62,2020-04-14,Andorra,AND,13,659,658.6
AND,2020-04-15,12.05,2020-04-15,Andorra,AND,14,673,670.65
AND,2020-04-16,10.76,2020-04-16,Andorra,AND,0,673,681.41
AND,2020-04-17,10.34,2020-04-17,Andorra,AND,23,696,691.75
AND,2020-04-18,10.92,2020-04-18,Andorra,AND,8,704,702.67
AND,2020-04-19,10.28,2020-04-19,Andorra,AND,9,713,712.95
AND,2020-04-20,5.03,2020-04-20,Andorra,AND,4,717,717.98
ARE,2020-01-22,0,2020-01-22,United Arab Emirates,ARE,0,0,0
ARE,2020-01-23,0,2020-01-23,United Arab Emirates,ARE,0,0,0
ARE,2020-01-24,0.02,2020-01-24,United Arab Emirates,ARE,0,0,0.02
ARE,2020-01-25,0.1,2020-01-25,United Arab Emirates,ARE,0,0,0.12000000000000001
ARE,2020-01-26,0.28,2020-01-26,United Arab Emirates,ARE,0,0,0.4
ARE,2020-01-27,0.54,2020-01-27,United Arab Emirates,ARE,0,0,0.9400000000000001
ARE,2020-01-28,0.79,2020-01-28,United Arab Emirates,ARE,0,0,1.7300000000000002
ARE,2020-01-29,0.92,2020-01-29,United Arab Emirates,ARE,4,4,2.6500000000000004
ARE,2020-01-30,0.84,2020-01-30,United Arab Emirates,ARE,0,4,3.49
ARE,2020-01-31,0.61,2020-01-31,United Arab Emirates,ARE,0,4,4.1000000000000005
ARE,2020-02-01,0.35,2020-02-01,United Arab Emirates,ARE,0,4,4.45
ARE,2020-02-02,0.15,2020-02-02,United Arab Emirates,ARE,1,5,4.6
ARE,2020-02-03,0.07,2020-02-03,United Arab Emirates,ARE,0,5,4.67
ARE,2020-02-04,0.09,2020-02-04,United Arab Emirates,ARE,0,5,4.76
